Tracking Number,Order Number,Recipient Postal Code,Service Description,Ship Date,Delivery Date,Original Weight (Pounds),Shipment Rated Weight (Pounds),Dimmed Height (in),Dimmed Width (in),Dimmed Length (in),Shipment DIM Flag,Net Charge Amount USD
TRK20250000000354,2220681,76311,FedEx Ground Economy,09/20/2025,09/22/2025,21.21,22.04,42.4,12.5,20.2,Y,14.81
TRK20250000000354,2220681,76311,FedEx Ground Economy,09/19/2025,09/24/2025,186.04,188.75,19.1,58.3,28.2,Y,234.97
TRK20250000000354,2220681,76311,FedEx Ground Economy,09/22/2025,09/30/2025,56.43,61.41,11.2,51.6,22.5,Y,47.98
TRK20250000000354,2220681,76311,FedEx Ground Economy,09/22/2025,09/29/2025,195.66,210.46,57.2,55.6,86.5,Y,155.65
TRK20250000000354,2220681,76311,FedEx Ground Economy,09/19/2025,09/23/2025,129.36,149.04,17.8,37.4,43.2,Y,89.46
TRK20250000000355,2220684,85764,FedEx Home Delivery,08/01/2025,08/06/2025,47.73,53.38,12.6,9.6,67.1,Y,59.88
TRK20250000000355,2220684,85764,FedEx Home Delivery,08/02/2025,08/05/2025,137.27,159.98,17.6,33.0,20.4,Y,199.75
TRK20250000000355,2220684,85764,FedEx Home Delivery,07/31/2025,08/05/2025,98.26,108.89,43.7,53.2,75.6,Y,79.44
TRK20250000000355,2220684,85764,FedEx Home Delivery,07/31/2025,08/05/2025,71.65,85.41,58.7,34.4,36.0,Y,124.84
TRK20250000000355,2220684,85764,FedEx Home Delivery,07/31/2025,08/01/2025,57.12,60.14,46.8,19.4,73.3,Y,51.31
TRK20250000000355,2220684,85764,FedEx Ground Economy,07/30/2025,08/06/2025,10.84,11.35,55.2,44.1,50.5,Y,11.49
TRK20250000000355,2220684,85764,FedEx Ground Economy,07/30/2025,08/07/2025,37.05,41.37,34.3,51.7,78.4,Y,42.22
TRK20250000000356,2220687,76904,FedEx Home Delivery,04/10/2025,04/15/2025,65.42,68.29,27.0,47.9,22.9,Y,61.13
TRK20250000000356,2220687,76904,FedEx Home Delivery,04/11/2025,04/15/2025,68.62,73.2,13.8,47.2,38.1,Y,75.09
TRK20250000000356,2220687,76904,FedEx Home Delivery,04/09/2025,04/14/2025,111.4,131.62,29.8,40.5,43.6,Y,146.51
TRK20250000000356,2220687,76904,FedEx Home Delivery,04/09/2025,04/14/2025,124.7,128.57,45.7,31.7,45.6,Y,185.66
TRK20250000000356,2220687,76904,FedEx Home Delivery,04/09/2025,04/10/2025,74.76,85.56,53.9,57.7,33.8,Y,108.09
TRK20250000000357,2220688,22965,FedEx Home Delivery,10/29/2025,11/03/2025,158.69,160.44,15.5,7.0,40.7,Y,271.49
TRK20250000000357,2220688,22965,FedEx Home Delivery,10/31/2025,11/03/2025,37.49,42.21,35.4,15.7,42.0,Y,58.65
TRK20250000000357,2220688,22965,FedEx Home Delivery,11/01/2025,11/06/2025,116.32,138.04,30.6,10.0,36.6,Y,149.14
TRK20250000000357,2220688,22965,FedEx Home Delivery,11/01/2025,11/06/2025,171.85,192.23,56.2,19.8,32.1,Y,216.85
TRK20250000000358,2220689,31995,FedEx Home Delivery,01/04/2026,01/06/2026,102.81,106.42,16.4,42.5,82.2,Y,95.98
TRK20250000000358,2220689,31995,FedEx Home Delivery,01/04/2026,01/09/2026,176.36,190.91,49.0,9.4,12.9,Y,166.86
TRK20250000000359,2220691,19612,FedEx Ground Economy,03/05/2025,03/14/2025,5.35,5.51,53.5,15.4,17.6,Y,4.24
TRK20250000000359,2220691,19612,FedEx Ground Economy,03/04/2025,03/13/2025,195.4,230.99,4.3,8.5,60.6,Y,313.1
TRK20250000000360,2220692,44976,FedEx Home Delivery,06/28/2025,07/03/2025,65.27,71.96,21.7,58.7,82.0,Y,74.54
TRK20250000000360,2220692,44976,FedEx Home Delivery,06/28/2025,07/03/2025,185.89,186.01,51.0,30.2,33.6,Y,180.39
TRK20250000000360,2220692,44976,FedEx Home Delivery,06/25/2025,06/27/2025,135.17,139.29,27.6,34.9,81.0,Y,155.16
TRK20250000000360,2220692,44976,FedEx Home Delivery,06/27/2025,06/28/2025,171.2,178.33,34.0,48.7,53.8,Y,147.45
TRK20250000000360,2220692,44976,FedEx Home Delivery,06/26/2025,06/28/2025,4.88,5.16,17.2,52.5,33.0,Y,7.27
TRK20250000000361,2220694,74763,FedEx Ground Economy,12/17/2025,12/25/2025,49.87,58.74,59.3,45.2,20.2,Y,60.5
TRK20250000000361,2220694,74763,FedEx Home Delivery,12/18/2025,12/23/2025,72.99,78.09,32.2,7.3,67.8,Y,104.16
TRK20250000000362,2220695,39273,FedEx Ground Economy,09/25/2025,09/28/2025,40.58,41.88,8.7,35.8,51.5,Y,46.42
TRK20250000000362,2220695,39273,FedEx Home Delivery,09/25/2025,09/30/2025,10.27,11.0,57.3,42.5,83.9,Y,14.45
TRK20250000000362,2220695,39273,FedEx Ground Economy,09/24/2025,09/26/2025,110.19,115.58,54.5,24.8,62.4,Y,80.72
TRK20250000000362,2220695,39273,FedEx Home Delivery,09/26/2025,09/27/2025,196.59,205.57,13.3,35.0,36.4,Y,155.11
TRK20250000000362,2220695,39273,FedEx Ground Economy,09/26/2025,09/28/2025,101.18,116.57,13.5,33.3,50.8,Y,137.48
TRK20250000000362,2220695,39273,FedEx Ground Economy,09/25/2025,09/28/2025,69.95,78.8,32.8,37.3,43.6,Y,112.47
TRK20250000000363,2220696,7790,FedEx Ground Economy,07/07/2025,07/15/2025,154.35,179.98,37.3,48.6,65.9,Y,198.8
TRK20250000000363,2220696,7790,FedEx Home Delivery,07/07/2025,07/11/2025,146.8,156.28,23.0,56.5,18.5,Y,112.23
TRK20250000000363,2220696,7790,FedEx Home Delivery,07/06/2025,07/07/2025,17.63,18.62,23.5,18.1,80.9,Y,27.39
TRK20250000000363,2220696,7790,FedEx Home Delivery,07/04/2025,07/06/2025,38.31,40.04,38.5,12.7,76.7,Y,44.37
TRK20250000000364,2220699,48238,FedEx Home Delivery,05/27/2025,05/30/2025,25.1,28.02,24.2,5.2,9.6,Y,23.73
TRK20250000000364,2220699,48238,FedEx Ground Economy,05/28/2025,06/03/2025,197.51,214.51,7.6,23.4,21.8,Y,272.91
TRK20250000000364,2220699,48238,FedEx Ground Economy,05/30/2025,06/04/2025,41.75,43.42,34.2,23.6,58.8,Y,44.29
TRK20250000000365,2220700,45526,FedEx Ground Economy,07/07/2025,07/14/2025,84.85,90.42,31.6,38.7,61.2,Y,83.57
TRK20250000000365,2220700,45526,FedEx Ground Economy,07/07/2025,07/14/2025,74.6,87.19,34.1,17.8,70.2,Y,56.38
TRK20250000000365,2220700,45526,FedEx Ground Economy,07/10/2025,07/16/2025,55.8,57.77,44.4,55.5,62.8,Y,65.17
TRK20250000000365,2220700,45526,FedEx Home Delivery,07/10/2025,07/11/2025,177.71,184.87,5.6,23.9,74.3,Y,258.37
TRK20250000000365,2220700,45526,FedEx Ground Economy,07/08/2025,07/10/2025,134.55,149.35,58.8,58.5,14.9,Y,178.35
TRK20250000000365,2220700,45526,FedEx Ground Economy,07/09/2025,07/12/2025,178.66,208.94,7.1,41.5,53.2,Y,301.96
TRK20250000000366,2220701,13062,FedEx Home Delivery,07/10/2025,07/15/2025,145.15,168.95,44.1,11.8,43.9,Y,168.71
TRK20250000000366,2220701,13062,FedEx Home Delivery,07/09/2025,07/11/2025,124.59,130.6,46.6,9.3,61.9,Y,212.9
TRK20250000000366,2220701,13062,FedEx Home Delivery,07/10/2025,07/12/2025,103.25,118.17,56.3,55.1,31.0,Y,102.56
TRK20250000000366,2220701,13062,FedEx Home Delivery,07/10/2025,07/13/2025,175.87,198.04,32.1,50.3,49.2,Y,249.4
TRK20250000000366,2220701,13062,FedEx Ground Economy,07/09/2025,07/12/2025,62.51,69.73,19.1,17.9,70.0,Y,102.45
TRK20250000000367,2220704,83278,FedEx Home Delivery,07/15/2025,07/16/2025,131.13,154.28,24.6,17.8,77.0,Y,208.33
TRK20250000000367,2220704,83278,FedEx Home Delivery,07/16/2025,07/18/2025,137.86,139.85,18.8,49.5,40.4,Y,213.93
TRK20250000000367,2220704,83278,FedEx Home Delivery,07/18/2025,07/20/2025,83.11,85.37,43.7,8.4,69.1,Y,126.77
TRK20250000000367,2220704,83278,FedEx Home Delivery,07/16/2025,07/19/2025,88.11,99.69,39.8,27.7,13.4,Y,101.66
TRK20250000000367,2220704,83278,FedEx Ground Economy,07/14/2025,07/18/2025,106.58,113.72,18.4,27.0,57.5,Y,105.18
TRK20250000000367,2220704,83278,FedEx Ground Economy,07/17/2025,07/22/2025,90.66,98.18,13.9,50.6,41.7,Y,109.83
TRK20250000000367,2220704,83278,FedEx Ground Economy,07/14/2025,07/18/2025,93.99,109.78,41.1,48.5,36.8,Y,110.98
TRK20250000000368,2220705,63164,FedEx Home Delivery,01/29/2025,02/02/2025,176.66,202.07,16.8,59.0,36.3,Y,288.09
TRK20250000000368,2220705,63164,FedEx Ground Economy,01/30/2025,02/02/2025,75.9,85.59,53.7,29.4,7.6,Y,56.53
TRK20250000000368,2220705,63164,FedEx Ground Economy,01/26/2025,02/04/2025,10.98,12.71,30.9,6.4,31.3,Y,12.97
TRK20250000000368,2220705,63164,FedEx Home Delivery,01/30/2025,01/31/2025,39.52,43.49,43.0,5.2,22.8,Y,39.6
TRK20250000000368,2220705,63164,FedEx Ground Economy,01/28/2025,01/31/2025,67.39,77.11,44.7,9.4,70.1,Y,94.92
TRK20250000000368,2220705,63164,FedEx Home Delivery,01/30/2025,01/31/2025,134.27,157.33,28.8,44.8,74.7,Y,216.48
TRK20250000000369,2220709,65623,FedEx Ground Economy,10/22/2025,10/28/2025,106.42,109.19,22.8,43.6,11.8,Y,105.35
TRK20250000000369,2220709,65623,FedEx Home Delivery,10/21/2025,10/26/2025,155.45,181.41,38.8,7.0,5.3,Y,226.24
TRK20250000000369,2220709,65623,FedEx Ground Economy,10/22/2025,10/27/2025,122.15,129.05,15.8,40.3,88.1,Y,137.5
TRK20250000000369,2220709,65623,FedEx Home Delivery,10/21/2025,10/23/2025,136.64,151.24,50.0,59.7,38.8,Y,256.62
TRK20250000000369,2220709,65623,FedEx Ground Economy,10/21/2025,10/25/2025,152.91,169.93,29.5,45.1,78.8,Y,194.12
TRK20250000000369,2220709,65623,FedEx Home Delivery,10/24/2025,10/27/2025,81.58,93.8,34.5,48.3,39.6,Y,96.06
TRK20250000000370,2220710,11121,FedEx Home Delivery,05/27/2025,06/01/2025,81.88,83.92,48.2,24.7,87.6,Y,102.62
TRK20250000000370,2220710,11121,FedEx Home Delivery,05/25/2025,05/27/2025,95.41,113.51,27.3,58.9,71.3,Y,182.72
TRK20250000000370,2220710,11121,FedEx Home Delivery,05/26/2025,05/30/2025,180.85,182.26,28.4,19.3,51.0,Y,249.84
TRK20250000000371,2220716,98360,FedEx Home Delivery,05/24/2025,05/26/2025,139.91,147.38,9.4,25.2,37.2,Y,243.09
TRK20250000000371,2220716,98360,FedEx Ground Economy,05/21/2025,05/25/2025,131.36,141.68,20.9,57.2,81.4,Y,99.98
TRK20250000000371,2220716,98360,FedEx Ground Economy,05/23/2025,05/27/2025,50.12,58.22,18.3,17.6,11.1,Y,65.9
TRK20250000000372,2220720,13059,FedEx Home Delivery,08/24/2025,08/25/2025,11.18,12.13,19.3,37.2,87.5,Y,20.74
TRK20250000000373,2220722,8656,FedEx Ground Economy,08/19/2025,08/26/2025,19.05,21.4,7.3,28.6,56.7,Y,18.57
TRK20250000000373,2220722,8656,FedEx Home Delivery,08/18/2025,08/19/2025,166.26,168.7,5.8,14.3,65.0,Y,118.07
TRK20250000000373,2220722,8656,FedEx Ground Economy,08/18/2025,08/22/2025,158.76,171.95,8.0,5.2,21.8,Y,214.54
TRK20250000000373,2220722,8656,FedEx Home Delivery,08/19/2025,08/24/2025,170.25,174.98,41.9,55.9,35.1,Y,123.63
TRK20250000000373,2220722,8656,FedEx Ground Economy,08/20/2025,08/29/2025,93.71,96.16,9.1,31.8,40.7,Y,64.4
TRK20250000000373,2220722,8656,FedEx Ground Economy,08/22/2025,08/31/2025,167.6,190.01,28.5,7.3,66.9,Y,194.98
TRK20250000000374,2220725,22492,FedEx Ground Economy,06/25/2025,06/30/2025,105.2,111.95,56.9,51.9,14.4,Y,127.68
TRK20250000000374,2220725,22492,FedEx Home Delivery,06/22/2025,06/23/2025,15.69,17.6,18.1,9.0,31.5,Y,26.74
TRK20250000000374,2220725,22492,FedEx Ground Economy,06/25/2025,06/28/2025,167.11,199.17,23.5,55.2,61.8,Y,136.22
TRK20250000000374,2220725,22492,FedEx Home Delivery,06/24/2025,06/25/2025,54.82,65.0,20.2,53.6,63.3,Y,73.23
TRK20250000000374,2220725,22492,FedEx Home Delivery,06/25/2025,06/27/2025,10.86,11.51,12.2,56.7,58.7,Y,10.81
TRK20250000000374,2220725,22492,FedEx Ground Economy,06/22/2025,06/27/2025,170.15,176.75,59.2,7.9,26.0,Y,197.36
TRK20250000000374,2220725,22492,FedEx Home Delivery,06/24/2025,06/28/2025,129.49,142.58,34.6,13.8,9.0,Y,119.16
TRK20250000000375,2220726,58903,FedEx Ground Economy,11/20/2025,11/29/2025,74.38,84.73,11.9,20.0,8.9,Y,105.79
TRK20250000000375,2220726,58903,FedEx Ground Economy,11/22/2025,11/25/2025,87.63,101.69,24.1,6.8,59.1,Y,114.04
TRK20250000000375,2220726,58903,FedEx Ground Economy,11/20/2025,11/23/2025,38.72,45.7,18.0,8.6,37.4,Y,61.4
TRK20250000000375,2220726,58903,FedEx Ground Economy,11/21/2025,11/25/2025,90.03,91.93,56.9,48.4,86.2,Y,76.34
TRK20250000000375,2220726,58903,FedEx Home Delivery,11/20/2025,11/25/2025,12.37,13.12,21.0,23.0,52.2,Y,15.35
TRK20250000000375,2220726,58903,FedEx Home Delivery,11/20/2025,11/25/2025,108.25,116.06,27.3,7.1,71.8,Y,91.72
TRK20250000000376,2220727,60171,FedEx Home Delivery,04/01/2025,04/03/2025,92.55,107.03,31.8,15.9,47.7,Y,143.9
TRK20250000000376,2220727,60171,FedEx Ground Economy,04/05/2025,04/07/2025,90.4,104.22,32.6,42.0,55.5,Y,85.04
TRK20250000000376,2220727,60171,FedEx Home Delivery,04/05/2025,04/10/2025,70.95,78.89,30.6,57.2,44.9,Y,131.48
TRK20250000000376,2220727,60171,FedEx Ground Economy,04/04/2025,04/12/2025,110.47,118.0,22.5,13.6,85.8,Y,157.45
TRK20250000000377,2220728,70149,FedEx Ground Economy,01/10/2025,01/12/2025,83.94,100.37,46.1,24.8,74.3,Y,150.09
TRK20250000000377,2220728,70149,FedEx Ground Economy,01/09/2025,01/13/2025,171.03,201.8,26.6,16.1,89.6,Y,121.7
TRK20250000000378,2220729,5105,FedEx Ground Economy,08/09/2025,08/17/2025,142.02,163.32,14.3,35.9,40.5,Y,239.72
TRK20250000000378,2220729,5105,FedEx Home Delivery,08/13/2025,08/14/2025,179.78,201.31,24.1,23.2,31.1,Y,158.16
TRK20250000000378,2220729,5105,FedEx Home Delivery,08/13/2025,08/18/2025,134.94,143.94,37.2,57.0,70.3,Y,141.51
TRK20250000000378,2220729,5105,FedEx Ground Economy,08/13/2025,08/21/2025,197.68,234.12,33.4,33.8,42.0,Y,265.77
TRK20250000000378,2220729,5105,FedEx Home Delivery,08/10/2025,08/14/2025,107.53,116.19,21.3,40.2,85.2,Y,104.02
TRK20250000000379,2220730,20847,FedEx Ground Economy,02/26/2025,03/05/2025,192.47,207.54,16.1,21.6,86.0,Y,309.77
TRK20250000000379,2220730,20847,FedEx Ground Economy,02/27/2025,03/02/2025,126.2,138.83,54.6,25.8,48.9,Y,134.81
TRK20250000000379,2220730,20847,FedEx Ground Economy,03/01/2025,03/05/2025,13.67,13.85,12.2,41.4,81.2,Y,12.79
TRK20250000000379,2220730,20847,FedEx Ground Economy,02/27/2025,03/03/2025,60.09,69.38,56.1,59.0,67.7,Y,80.27
TRK20250000000379,2220730,20847,FedEx Home Delivery,02/27/2025,03/04/2025,147.25,175.17,59.9,26.5,37.0,Y,142.45
TRK20250000000380,2220732,37752,FedEx Home Delivery,07/09/2025,07/10/2025,141.69,147.19,22.6,55.8,45.4,Y,164.02
TRK20250000000380,2220732,37752,FedEx Home Delivery,07/11/2025,07/13/2025,10.38,11.7,49.4,44.8,71.3,Y,14.61
TRK20250000000381,2220733,50093,FedEx Home Delivery,07/10/2025,07/11/2025,65.97,75.91,7.3,55.1,6.6,Y,101.69
TRK20250000000381,2220733,50093,FedEx Home Delivery,07/09/2025,07/10/2025,114.85,124.75,37.6,25.4,89.5,Y,89.58
TRK20250000000381,2220733,50093,FedEx Ground Economy,07/12/2025,07/14/2025,190.18,214.54,22.6,58.8,68.0,Y,245.63
TRK20250000000381,2220733,50093,FedEx Home Delivery,07/10/2025,07/13/2025,150.51,158.04,22.8,34.2,62.6,Y,150.02
TRK20250000000381,2220733,50093,FedEx Ground Economy,07/10/2025,07/15/2025,111.87,123.75,22.4,8.1,79.6,Y,161.36
TRK20250000000381,2220733,50093,FedEx Home Delivery,07/12/2025,07/16/2025,184.12,212.62,24.9,28.2,60.1,Y,258.09
TRK20250000000381,2220733,50093,FedEx Home Delivery,07/10/2025,07/12/2025,131.36,143.39,54.0,25.4,30.8,Y,124.6
TRK20250000000382,2220734,11108,FedEx Home Delivery,12/25/2025,12/26/2025,1.32,1.51,40.4,53.3,57.6,Y,1.53
TRK20250000000383,2220738,23531,FedEx Ground Economy,09/03/2025,09/05/2025,54.51,62.44,49.2,26.8,27.3,Y,49.97
TRK20250000000383,2220738,23531,FedEx Home Delivery,09/05/2025,09/10/2025,52.32,52.63,36.8,50.8,46.9,Y,79.07
TRK20250000000383,2220738,23531,FedEx Ground Economy,09/04/2025,09/08/2025,37.88,40.4,55.8,40.5,16.8,Y,40.09
TRK20250000000383,2220738,23531,FedEx Ground Economy,09/05/2025,09/09/2025,45.32,50.34,10.9,48.0,81.0,Y,48.02
TRK20250000000384,2220741,39361,FedEx Home Delivery,10/27/2025,10/31/2025,149.65,174.12,26.7,29.9,40.0,Y,183.2
TRK20250000000384,2220741,39361,FedEx Home Delivery,10/30/2025,10/31/2025,25.59,30.04,5.8,44.1,68.1,Y,44.2
TRK20250000000384,2220741,39361,FedEx Ground Economy,10/31/2025,11/06/2025,64.34,74.04,5.3,59.3,40.9,Y,75.26
TRK20250000000384,2220741,39361,FedEx Home Delivery,10/30/2025,10/31/2025,27.97,28.1,38.2,52.9,31.8,Y,37.8
TRK20250000000384,2220741,39361,FedEx Ground Economy,10/31/2025,11/07/2025,65.73,68.19,17.9,58.0,71.0,Y,99.21
TRK20250000000384,2220741,39361,FedEx Ground Economy,10/30/2025,11/03/2025,197.17,215.21,3.3,17.1,72.7,Y,251.26
TRK20250000000384,2220741,39361,FedEx Ground Economy,10/30/2025,11/07/2025,94.05,96.29,19.6,27.7,64.0,Y,115.61
TRK20250000000385,2220743,84486,FedEx Home Delivery,05/10/2025,05/12/2025,4.22,4.44,15.2,7.5,9.8,Y,6.94
TRK20250000000385,2220743,84486,FedEx Home Delivery,05/10/2025,05/12/2025,62.8,65.24,9.5,23.3,43.8,Y,45.13
TRK20250000000385,2220743,84486,FedEx Ground Economy,05/10/2025,05/13/2025,92.5,93.26,40.4,23.9,41.2,Y,69.29
TRK20250000000386,2220744,70620,FedEx Home Delivery,02/11/2025,02/15/2025,64.66,76.55,58.0,48.4,7.3,Y,62.94
TRK20250000000387,2220745,34375,FedEx Home Delivery,09/29/2025,10/02/2025,130.45,135.62,50.1,27.7,21.4,Y,227.86
TRK20250000000388,2220746,2595,FedEx Home Delivery,07/16/2025,07/17/2025,131.42,156.57,56.5,50.1,25.0,Y,180.13
TRK20250000000388,2220746,2595,FedEx Ground Economy,07/17/2025,07/21/2025,166.01,180.85,57.9,58.4,17.2,Y,268.08
TRK20250000000388,2220746,2595,FedEx Home Delivery,07/15/2025,07/16/2025,174.94,200.06,22.6,56.0,30.5,Y,287.39
TRK20250000000388,2220746,2595,FedEx Home Delivery,07/14/2025,07/15/2025,8.78,8.97,46.3,48.5,6.3,Y,7.07
TRK20250000000389,2220748,89072,FedEx Home Delivery,04/03/2025,04/07/2025,92.59,96.28,43.9,20.1,35.2,Y,101.26
TRK20250000000389,2220748,89072,FedEx Home Delivery,04/04/2025,04/06/2025,175.69,193.3,31.0,32.3,53.3,Y,260.17
TRK20250000000390,2220749,39090,FedEx Ground Economy,05/17/2025,05/20/2025,147.33,173.01,10.7,5.4,87.1,Y,231.3
TRK20250000000390,2220749,39090,FedEx Home Delivery,05/18/2025,05/23/2025,76.95,85.88,6.3,38.6,44.1,Y,62.28
TRK20250000000390,2220749,39090,FedEx Ground Economy,05/18/2025,05/23/2025,93.47,106.68,50.1,20.4,78.5,Y,119.65
TRK20250000000390,2220749,39090,FedEx Home Delivery,05/19/2025,05/22/2025,128.95,148.38,57.7,17.2,84.6,Y,164.78
TRK20250000000390,2220749,39090,FedEx Ground Economy,05/17/2025,05/19/2025,146.38,148.48,8.8,38.6,53.0,Y,167.1
TRK20250000000390,2220749,39090,FedEx Home Delivery,05/17/2025,05/19/2025,84.73,100.31,35.5,13.0,51.9,Y,77.44
TRK20250000000390,2220749,39090,FedEx Home Delivery,05/16/2025,05/20/2025,37.84,41.54,10.5,29.6,13.5,Y,62.59
TRK20250000000391,2220750,71967,FedEx Ground Economy,07/01/2025,07/08/2025,112.59,125.24,30.5,15.8,82.5,Y,119.08
TRK20250000000391,2220750,71967,FedEx Ground Economy,07/01/2025,07/07/2025,5.38,5.93,43.1,42.8,86.7,Y,5.73
TRK20250000000391,2220750,71967,FedEx Ground Economy,06/29/2025,07/05/2025,196.84,214.24,35.4,47.3,32.8,Y,262.93
TRK20250000000391,2220750,71967,FedEx Ground Economy,06/28/2025,07/02/2025,137.94,151.29,40.7,21.2,7.4,Y,144.95
TRK20250000000391,2220750,71967,FedEx Ground Economy,07/01/2025,07/06/2025,23.88,27.73,35.0,30.6,89.9,Y,37.52
TRK20250000000391,2220750,71967,FedEx Home Delivery,07/01/2025,07/05/2025,6.9,7.07,20.3,54.1,41.9,Y,5.91
TRK20250000000391,2220750,71967,FedEx Ground Economy,07/01/2025,07/04/2025,121.03,130.58,56.4,38.8,47.1,Y,169.08
TRK20250000000392,2220751,2345,FedEx Home Delivery,11/05/2025,11/08/2025,72.73,80.28,53.7,33.6,31.0,Y,99.19
TRK20250000000392,2220751,2345,FedEx Home Delivery,11/03/2025,11/04/2025,64.48,75.52,42.8,31.6,25.2,Y,76.36
TRK20250000000392,2220751,2345,FedEx Home Delivery,11/06/2025,11/10/2025,183.81,209.34,57.1,31.5,60.2,Y,260.67
TRK20250000000392,2220751,2345,FedEx Home Delivery,11/04/2025,11/08/2025,99.7,102.1,3.8,56.2,6.8,Y,80.41
TRK20250000000392,2220751,2345,FedEx Ground Economy,11/07/2025,11/11/2025,84.09,90.36,14.5,21.0,28.7,Y,108.56
TRK20250000000392,2220751,2345,FedEx Ground Economy,11/04/2025,11/09/2025,43.22,46.86,19.0,55.9,5.8,Y,62.21
TRK20250000000393,2220752,62544,FedEx Ground Economy,08/06/2025,08/10/2025,63.93,72.75,48.8,15.4,33.5,Y,70.47
TRK20250000000393,2220752,62544,FedEx Home Delivery,08/08/2025,08/10/2025,95.07,95.83,43.9,13.5,49.7,Y,100.84
TRK20250000000394,2220754,56657,FedEx Home Delivery,08/16/2025,08/17/2025,159.3,186.46,6.6,12.2,24.3,Y,282.27
TRK20250000000394,2220754,56657,FedEx Home Delivery,08/17/2025,08/21/2025,38.21,44.26,37.1,24.9,38.6,Y,41.75
TRK20250000000394,2220754,56657,FedEx Ground Economy,08/14/2025,08/22/2025,17.55,20.47,41.6,5.5,74.7,Y,23.33
TRK20250000000394,2220754,56657,FedEx Ground Economy,08/16/2025,08/24/2025,182.45,200.44,35.0,43.6,63.5,Y,221.5
TRK20250000000395,2220755,49927,FedEx Home Delivery,12/11/2025,12/13/2025,151.94,162.54,34.7,9.1,64.0,Y,193.87
TRK20250000000395,2220755,49927,FedEx Home Delivery,12/08/2025,12/13/2025,168.68,181.46,43.2,27.9,39.7,Y,269.46
TRK20250000000395,2220755,49927,FedEx Ground Economy,12/07/2025,12/15/2025,21.93,23.12,18.9,18.4,46.6,Y,33.33
TRK20250000000395,2220755,49927,FedEx Home Delivery,12/11/2025,12/15/2025,81.86,89.74,59.4,52.4,66.0,Y,137.19
TRK20250000000395,2220755,49927,FedEx Ground Economy,12/09/2025,12/15/2025,63.13,69.67,32.9,17.6,27.0,Y,43.79
TRK20250000000396,2220756,6532,FedEx Home Delivery,10/14/2025,10/18/2025,88.32,100.02,19.9,32.6,59.7,Y,77.04
TRK20250000000396,2220756,6532,FedEx Ground Economy,10/14/2025,10/16/2025,150.51,168.57,30.0,34.2,59.7,Y,169.94
TRK20250000000396,2220756,6532,FedEx Home Delivery,10/17/2025,10/18/2025,38.46,40.45,14.2,26.4,57.1,Y,52.12
TRK20250000000396,2220756,6532,FedEx Ground Economy,10/15/2025,10/23/2025,173.52,198.78,17.9,16.7,67.3,Y,210.08
TRK20250000000396,2220756,6532,FedEx Home Delivery,10/14/2025,10/16/2025,84.05,93.49,21.7,25.6,53.9,Y,66.14
TRK20250000000396,2220756,6532,FedEx Home Delivery,10/13/2025,10/14/2025,3.6,3.86,24.0,38.5,59.5,Y,4.81
TRK20250000000397,2220758,38697,FedEx Home Delivery,01/06/2025,01/11/2025,147.22,159.62,7.2,33.2,70.7,Y,248.64
TRK20250000000397,2220758,38697,FedEx Ground Economy,01/08/2025,01/11/2025,52.65,61.96,9.5,46.7,36.9,Y,79.99
TRK20250000000397,2220758,38697,FedEx Ground Economy,01/09/2025,01/11/2025,4.48,4.99,47.1,5.3,71.1,Y,6.39
TRK20250000000397,2220758,38697,FedEx Ground Economy,01/06/2025,01/09/2025,26.12,30.09,13.0,5.2,19.9,Y,32.82
TRK20250000000397,2220758,38697,FedEx Ground Economy,01/06/2025,01/13/2025,54.45,55.89,11.7,14.2,63.1,Y,69.47
TRK20250000000398,2220760,68628,FedEx Home Delivery,12/26/2025,12/27/2025,38.68,42.07,31.4,25.8,48.6,Y,50.72
TRK20250000000398,2220760,68628,FedEx Home Delivery,12/25/2025,12/30/2025,49.81,50.9,56.9,35.2,74.1,Y,68.09
TRK20250000000398,2220760,68628,FedEx Ground Economy,12/27/2025,01/04/2026,44.76,52.03,15.8,36.6,13.4,Y,61.53
TRK20250000000399,2220762,28123,FedEx Home Delivery,08/01/2025,08/06/2025,120.42,141.29,32.2,56.4,77.1,Y,220.73
TRK20250000000399,2220762,28123,FedEx Home Delivery,08/03/2025,08/04/2025,10.33,11.79,11.3,45.0,27.1,Y,19.29
TRK20250000000399,2220762,28123,FedEx Home Delivery,08/03/2025,08/05/2025,122.03,145.8,13.1,9.4,32.7,Y,169.98
TRK20250000000400,2220764,77222,FedEx Ground Economy,09/13/2025,09/20/2025,99.35,107.26,55.3,46.7,83.7,Y,89.93
TRK20250000000400,2220764,77222,FedEx Home Delivery,09/15/2025,09/20/2025,14.86,17.45,14.5,44.1,54.3,Y,12.51
TRK20250000000400,2220764,77222,FedEx Ground Economy,09/13/2025,09/20/2025,161.7,186.99,23.1,44.7,64.2,Y,131.04
TRK20250000000400,2220764,77222,FedEx Home Delivery,09/13/2025,09/16/2025,144.85,169.51,48.2,22.3,68.5,Y,198.7
TRK20250000000400,2220764,77222,FedEx Ground Economy,09/13/2025,09/20/2025,44.89,52.73,6.8,42.5,42.2,Y,33.07
TRK20250000000400,2220764,77222,FedEx Home Delivery,09/13/2025,09/14/2025,155.31,158.34,6.6,50.5,22.4,Y,192.49
TRK20250000000400,2220764,77222,FedEx Home Delivery,09/12/2025,09/14/2025,84.96,87.96,5.2,11.4,53.2,Y,65.25
